GOOD        ,   QUANTITY MULTIPLIER,    DAILY PRODUCTION,   DAILY CONSUMPTION,  BASE PRICE MULTIPLIER
Bricks      ,   1                  ,    20              ,   10               ,  1                
Smartphones ,   0.02               ,    3               ,   5                ,  1.5
Documents   ,   0.1                ,    10              ,   12               ,  0.9
Books       ,   0.3                ,    15              ,   7                ,  0.6
Timber      ,   1.5                ,    20              ,   10               ,  1
Wine        ,   0.2                ,    5               ,   8                ,  1.3
Beer        ,   0.8                ,    15              ,   5                ,  0.6
Iron        ,   0.65               ,    22              ,   2                ,  0.9
Pottery     ,   0.2                ,    5               ,   8                ,  1.4
Bikes       ,   0.3                ,    10              ,   13               ,  1.3
